saldo_corrente,duracao_emp_meses,historico_credito,motivo,quantia,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,outro_credito,residencia,qtd_emprestimos_existentes,emprego,dependentes,telefone,inadimplente
1 - 200 DM,12.0,critico,carro,1804,100 - 500 DM,< 1 ano,3.0,4.0,44,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,10.0,critico,moveis/eletrodomesticos,2069,desconhecido,1 - 4 anos,2.0,1.0,26,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,6.0,bom,moveis/eletrodomesticos,1374,< 100 DM,1 - 4 anos,1.0,2.0,36,banco,propria,1,nao-qualificado,1,sim,nao
desconhecido,6.0,perfeito,moveis/eletrodomesticos,426,< 100 DM,> 7 anos,4.0,4.0,39,nenhum,propria,1,nao-qualificado,1,nao,nao
> 200 DM,12.0,muito bom,moveis/eletrodomesticos,409,> 1000 DM,1 - 4 anos,3.0,,42,nenhum,alugada,2,qualificado,1,nao,nao
1 - 200 DM,7.0,bom,moveis/eletrodomesticos,2415,< 100 DM,1 - 4 anos,3.0,2.0,34,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,60.0,ruim,negocios,6836,< 100 DM,> 7 anos,3.0,4.0,63,nenhum,propria,2,qualificado,1,sim,sim
1 - 200 DM,18.0,bom,negocios,1913,> 1000 DM,< 1 ano,3.0,3.0,36,banco,propria,1,qualificado,1,sim,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,4020,< 100 DM,1 - 4 anos,2.0,2.0,27,loja,propria,1,qualificado,1,nao,nao
1 - 200 DM,,bom,carro,5866,100 - 500 DM,1 - 4 anos,2.0,2.0,30,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,12.0,critico,negocios,1264,desconhecido,> 7 anos,4.0,4.0,57,nenhum,alugada,1,nao-qualificado,1,nao,nao
> 200 DM,12.0,bom,moveis/eletrodomesticos,1474,< 100 DM,< 1 ano,4.0,1.0,33,banco,propria,1,gerencial,1,sim,nao
1 - 200 DM,45.0,critico,moveis/eletrodomesticos,4746,< 100 DM,< 1 ano,4.0,2.0,25,nenhum,propria,2,nao-qualificado,1,nao,sim
desconhecido,48.0,critico,educacao,6110,< 100 DM,1 - 4 anos,1.0,3.0,31,banco,outros,1,qualificado,1,sim,nao
> 200 DM,,bom,moveis/eletrodomesticos,2100,< 100 DM,1 - 4 anos,4.0,2.0,37,loja,propria,1,qualificado,1,nao,sim
> 200 DM,10.0,bom,moveis/eletrodomesticos,1225,< 100 DM,1 - 4 anos,2.0,2.0,37,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,9.0,bom,moveis/eletrodomesticos,458,< 100 DM,1 - 4 anos,4.0,3.0,24,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,30.0,bom,moveis/eletrodomesticos,2333,500 - 1000 DM,> 7 anos,4.0,2.0,30,banco,propria,1,gerencial,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1158,500 - 1000 DM,1 - 4 anos,3.0,1.0,26,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,18.0,ruim,renovacao,6204,< 100 DM,1 - 4 anos,2.0,4.0,44,nenhum,propria,1,nao-qualificado,2,sim,nao
< 0 DM,30.0,critico,carro,6187,100 - 500 DM,4 - 7 anos,1.0,4.0,24,nenhum,alugada,2,qualificado,1,nao,nao
< 0 DM,48.0,critico,carro,6143,< 100 DM,> 7 anos,4.0,4.0,58,loja,outros,2,nao-qualificado,1,nao,sim
desconhecido,11.0,critico,carro,1393,< 100 DM,< 1 ano,4.0,4.0,35,nenhum,propria,2,gerencial,1,nao,nao
desconhecido,36.0,bom,moveis/eletrodomesticos,2299,500 - 1000 DM,> 7 anos,4.0,4.0,39,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,6.0,bom,carro,1352,500 - 1000 DM,desempregado,1.0,2.0,23,nenhum,alugada,1,desempregado,1,sim,nao
desconhecido,11.0,critico,carro,7228,< 100 DM,1 - 4 anos,1.0,4.0,39,nenhum,propria,2,nao-qualificado,1,nao,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,2073,100 - 500 DM,1 - 4 anos,4.0,2.0,28,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,24.0,ruim,moveis/eletrodomesticos,2333,desconhecido,< 1 ano,4.0,2.0,29,banco,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,27.0,ruim,carro,5965,< 100 DM,> 7 anos,1.0,2.0,30,nenhum,propria,2,gerencial,1,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,1262,< 100 DM,1 - 4 anos,3.0,2.0,25,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,,bom,carro,3378,desconhecido,1 - 4 anos,2.0,1.0,31,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,36.0,ruim,carro,2225,< 100 DM,> 7 anos,4.0,4.0,57,banco,outros,2,qualificado,1,sim,sim
desconhecido,6.0,muito bom,carro,783,desconhecido,1 - 4 anos,1.0,2.0,26,loja,propria,1,nao-qualificado,2,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,6468,desconhecido,desempregado,2.0,1.0,52,nenhum,propria,1,gerencial,1,sim,sim
desconhecido,36.0,critico,moveis/eletrodomesticos,9566,< 100 DM,1 - 4 anos,2.0,2.0,31,loja,propria,2,qualificado,1,nao,nao
> 200 DM,18.0,bom,carro,1961,< 100 DM,> 7 anos,3.0,2.0,23,nenhum,propria,1,gerencial,1,nao,nao
< 0 DM,36.0,critico,moveis/eletrodomesticos,6229,< 100 DM,< 1 ano,4.0,4.0,23,nenhum,alugada,2,nao-qualificado,1,sim,sim
1 - 200 DM,9.0,bom,negocios,1391,< 100 DM,1 - 4 anos,2.0,1.0,27,banco,propria,1,qualificado,1,sim,nao
1 - 200 DM,15.0,critico,moveis/eletrodomesticos,1537,desconhecido,> 7 anos,4.0,4.0,50,nenhum,propria,2,qualificado,1,sim,nao
1 - 200 DM,36.0,perfeito,negocios,1953,< 100 DM,> 7 anos,4.0,4.0,61,nenhum,outros,1,gerencial,1,sim,sim
1 - 200 DM,48.0,perfeito,negocios,14421,< 100 DM,1 - 4 anos,2.0,2.0,25,nenhum,propria,1,qualificado,1,sim,sim
desconhecido,24.0,bom,moveis/eletrodomesticos,3181,< 100 DM,< 1 ano,4.0,4.0,26,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,27.0,bom,renovacao,5190,desconhecido,> 7 anos,4.0,4.0,48,nenhum,propria,4,qualificado,2,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,2171,< 100 DM,< 1 ano,2.0,2.0,29,banco,propria,1,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,carro,1007,> 1000 DM,1 - 4 anos,4.0,1.0,22,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,36.0,bom,educacao,1819,< 100 DM,1 - 4 anos,4.0,4.0,37,loja,outros,1,qualificado,1,sim,sim
desconhecido,36.0,bom,moveis/eletrodomesticos,2394,desconhecido,1 - 4 anos,4.0,4.0,25,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,36.0,bom,carro,8133,< 100 DM,1 - 4 anos,1.0,2.0,30,banco,propria,1,qualificado,1,nao,nao
desconhecido,7.0,critico,moveis/eletrodomesticos,730,desconhecido,> 7 anos,4.0,2.0,46,nenhum,alugada,2,nao-qualificado,1,sim,nao
< 0 DM,8.0,critico,carr0,1164,< 100 DM,> 7 anos,3.0,4.0,51,banco,outros,2,gerencial,2,sim,nao
1 - 200 DM,42.0,critico,negocios,5954,< 100 DM,4 - 7 anos,2.0,1.0,41,banco,propria,2,nao-qualificado,1,nao,nao
< 0 DM,36.0,bom,educacao,1977,desconhecido,> 7 anos,4.0,4.0,40,nenhum,propria,1,gerencial,1,sim,sim
< 0 DM,12.0,critico,carro,1526,< 100 DM,> 7 anos,4.0,4.0,66,nenhum,outros,2,gerencial,1,nao,nao
< 0 DM,42.0,bom,moveis/eletrodomesticos,3965,< 100 DM,< 1 ano,4.0,3.0,34,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,11.0,ruim,moveis/eletrodomesticos,4771,< 100 DM,4 - 7 anos,2.0,4.0,51,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,54.0,perfeito,carro,9436,desconhecido,1 - 4 anos,2.0,2.0,39,nenhum,propria,1,nao-qualificado,2,nao,nao
1 - 200 DM,30.0,bom,moveis/eletrodomesticos,3832,< 100 DM,< 1 ano,2.0,1.0,22,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,5943,desconhecido,< 1 ano,1.0,1.0,44,nenhum,propria,2,qualificado,1,sim,sim
desconhecido,15.0,bom,moveis/eletrodomesticos,1213,500 - 1000 DM,> 7 anos,4.0,3.0,47,loja,propria,1,qualificado,1,sim,nao
desconhecido,18.0,bom,negocios,1568,100 - 500 DM,1 - 4 anos,3.0,4.0,24,nenhum,alugada,1,nao-qualificado,1,nao,nao
< 0 DM,24.0,bom,carr0,1755,< 100 DM,> 7 anos,4.0,4.0,58,nenhum,propria,1,nao-qualificado,1,sim,nao
< 0 DM,10.0,bom,moveis/eletrodomesticos,2315,< 100 DM,> 7 anos,3.0,4.0,52,nenhum,propria,1,nao-qualificado,1,nao,nao
desconhecido,12.0,critico,negocios,1412,< 100 DM,1 - 4 anos,4.0,2.0,29,nenhum,propria,2,gerencial,1,sim,nao
1 - 200 DM,18.0,critico,moveis/eletrodomesticos,1295,< 100 DM,< 1 ano,4.0,1.0,27,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,36.0,bom,educacao,12612,100 - 500 DM,1 - 4 anos,1.0,4.0,47,nenhum,outros,1,qualificado,2,sim,sim
< 0 DM,18.0,bom,carro,2249,100 - 500 DM,4 - 7 anos,4.0,3.0,30,nenhum,propria,1,gerencial,2,sim,nao
< 0 DM,12.0,perfeito,renovacao,1108,< 100 DM,4 - 7 anos,4.0,3.0,28,nenhum,propria,2,qualificado,1,nao,sim
desconhecido,12.0,critico,moveis/eletrodomesticos,618,< 100 DM,> 7 anos,4.0,4.0,56,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,12.0,critico,carro,1409,< 100 DM,> 7 anos,4.0,3.0,54,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,797,desconhecido,> 7 anos,4.0,3.0,33,banco,propria,1,nao-qualificado,2,nao,sim
> 200 DM,24.0,critico,moveis/eletrodomesticos,3617,desconhecido,> 7 anos,4.0,4.0,20,nenhum,alugada,2,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,carro,1318,> 1000 DM,> 7 anos,4.0,4.0,54,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,54.0,perfeito,negocios,15945,< 100 DM,< 1 ano,3.0,4.0,58,nenhum,alugada,1,qualificado,1,sim,sim
desconhecido,12.0,critico,educacao,2012,desconhecido,4 - 7 anos,4.0,2.0,61,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,18.0,bom,negocios,2622,100 - 500 DM,1 - 4 anos,4.0,4.0,34,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,36.0,critico,moveis/eletrodomesticos,2337,< 100 DM,> 7 anos,4.0,4.0,36,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,20.0,ruim,carro,7057,desconhecido,4 - 7 anos,3.0,4.0,36,banco,alugada,2,gerencial,2,sim,nao
desconhecido,24.0,bom,carro,1469,100 - 500 DM,> 7 anos,4.0,4.0,41,nenhum,alugada,1,nao-qualificado,1,nao,nao
1 - 200 DM,36.0,bom,moveis/eletrodomesticos,2323,< 100 DM,4 - 7 anos,4.0,4.0,24,nenhum,alugada,1,qualificado,1,nao,nao
desconhecido,6.0,ruim,moveis/eletrodomesticos,932,< 100 DM,1 - 4 anos,3.0,2.0,24,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,9.0,critico,moveis/eletrodomesticos,1919,< 100 DM,4 - 7 anos,4.0,3.0,35,nenhum,alugada,1,qualificado,1,sim,nao
desconhecido,12.0,bom,carro,2445,desconhecido,< 1 ano,2.0,4.0,26,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,24.0,critico,carr0,11938,< 100 DM,1 - 4 anos,2.0,3.0,39,nenhum,propria,2,gerencial,2,sim,sim
desconhecido,18.0,muito bom,carro,6458,< 100 DM,> 7 anos,2.0,4.0,39,banco,propria,2,gerencial,2,sim,sim
1 - 200 DM,12.0,bom,carro,6078,< 100 DM,4 - 7 anos,2.0,2.0,32,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,7721,desconhecido,< 1 ano,1.0,2.0,30,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,14.0,bom,negocios,1410,500 - 1000 DM,> 7 anos,,2.0,35,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,6.0,ruim,negocios,1449,100 - 500 DM,> 7 anos,1.0,2.0,31,banco,propria,2,qualificado,2,nao,nao
> 200 DM,15.0,bom,educacao,392,< 100 DM,< 1 ano,4.0,4.0,23,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,18.0,bom,carro,6260,< 100 DM,4 - 7 anos,3.0,3.0,28,nenhum,alugada,1,nao-qualificado,1,nao,nao
desconhecido,36.0,critico,carro,7855,< 100 DM,1 - 4 anos,4.0,2.0,25,loja,propria,2,qualificado,1,sim,sim
< 0 DM,12.0,bom,moveis/eletrodomesticos,1680,500 - 1000 DM,> 7 anos,3.0,1.0,35,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,48.0,critico,moveis/eletrodomesticos,3578,desconhecido,> 7 anos,4.0,1.0,47,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,42.0,bom,moveis/eletrodomesticos,7174,desconhecido,4 - 7 anos,4.0,3.0,30,nenhum,propria,1,gerencial,1,sim,sim
< 0 DM,10.0,critico,moveis/eletrodomesticos,2132,desconhecido,< 1 ano,2.0,3.0,27,nenhum,alugada,2,qualificado,1,nao,nao
< 0 DM,33.0,critico,moveis/eletrodomesticos,4281,500 - 1000 DM,1 - 4 anos,1.0,4.0,23,nenhum,propria,2,qualificado,1,nao,sim
1 - 200 DM,12.0,critico,carro,2366,500 - 1000 DM,4 - 7 anos,3.0,3.0,36,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,21.0,bom,moveis/eletrodomesticos,1835,< 100 DM,1 - 4 anos,3.0,2.0,25,nenhum,propria,2,qualificado,1,sim,sim
desconhecido,24.0,critico,carro,3868,< 100 DM,> 7 anos,4.0,2.0,41,nenhum,alugada,2,gerencial,1,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,1768,< 100 DM,1 - 4 anos,3.0,2.0,24,nenhum,alugada,1,nao-qualificado,1,nao,nao
> 200 DM,10.0,critico,carro,781,< 100 DM,> 7 anos,4.0,4.0,63,nenhum,outros,2,qualificado,1,sim,nao
1 - 200 DM,18.0,bom,moveis/eletrodomesticos,1924,desconhecido,< 1 ano,4.0,3.0,27,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,12.0,critico,carro,2121,< 100 DM,1 - 4 anos,4.0,2.0,30,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,701,< 100 DM,1 - 4 anos,4.0,2.0,40,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,12.0,bom,renovacao,639,< 100 DM,1 - 4 anos,4.0,2.0,30,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,12.0,critico,carro,1860,< 100 DM,desempregado,4.0,2.0,34,nenhum,propria,2,gerencial,1,sim,nao
< 0 DM,12.0,critico,carro,3499,< 100 DM,1 - 4 anos,3.0,2.0,29,nenhum,propria,2,qualificado,1,nao,sim
1 - 200 DM,48.0,bom,carro,8487,desconhecido,4 - 7 anos,1.0,2.0,24,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,36.0,ruim,educacao,6887,< 100 DM,1 - 4 anos,4.0,3.0,29,loja,propria,1,qualificado,1,sim,sim
desconhecido,15.0,bom,moveis/eletrodomesticos,2708,< 100 DM,< 1 ano,2.0,3.0,27,banco,propria,2,nao-qualificado,1,nao,nao
desconhecido,18.0,bom,moveis/eletrodomesticos,1984,< 100 DM,1 - 4 anos,4.0,4.0,47,banco,outros,2,qualificado,1,nao,nao
desconhecido,60.0,bom,moveis/eletrodomesticos,10144,100 - 500 DM,4 - 7 anos,2.0,4.0,21,nenhum,propria,1,qualificado,1,sim,nao
desconhecido,12.0,critico,moveis/eletrodomesticos,1240,desconhecido,> 7 anos,4.0,2.0,38,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,27.0,ruim,carro,8613,> 1000 DM,1 - 4 anos,2.0,2.0,27,nenhum,propria,2,qualificado,1,nao,nao
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,766,500 - 1000 DM,1 - 4 anos,4.0,3.0,66,nenhum,propria,1,nao-qualificado,1,nao,sim
1 - 200 DM,15.0,critico,moveis/eletrodomesticos,2728,desconhecido,4 - 7 anos,4.0,2.0,35,banco,propria,3,qualificado,1,sim,nao
> 200 DM,12.0,bom,moveis/eletrodomesticos,1881,< 100 DM,1 - 4 anos,2.0,2.0,44,nenhum,alugada,1,nao-qualificado,1,sim,nao
> 200 DM,6.0,bom,carro,709,> 1000 DM,< 1 ano,2.0,2.0,27,nenhum,propria,1,desempregado,1,nao,nao
1 - 200 DM,36.0,bom,moveis/eletrodomesticos,4795,< 100 DM,< 1 ano,4.0,1.0,30,nenhum,propria,1,gerencial,1,sim,nao
< 0 DM,27.0,bom,moveis/eletrodomesticos,3416,< 100 DM,1 - 4 anos,3.0,2.0,27,nenhum,propria,1,gerencial,1,nao,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,2462,< 100 DM,1 - 4 anos,2.0,2.0,22,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,21.0,critico,moveis/eletrodomesticos,2288,< 100 DM,< 1 ano,4.0,4.0,23,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,48.0,muito bom,negocios,3566,100 - 500 DM,4 - 7 anos,4.0,2.0,30,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,6.0,critico,carro,860,< 100 DM,> 7 anos,1.0,4.0,39,nenhum,propria,2,qualificado,1,sim,nao
desconhecido,12.0,critico,carro,682,100 - 500 DM,4 - 7 anos,4.0,3.0,51,nenhum,propria,2,qualificado,1,sim,nao
< 0 DM,36.0,critico,moveis/eletrodomesticos,5371,< 100 DM,1 - 4 anos,3.0,2.0,28,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,18.0,critico,moveis/eletrodomesticos,1582,> 1000 DM,> 7 anos,4.0,4.0,46,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,6.0,bom,moveis/eletrodomesticos,1346,100 - 500 DM,> 7 anos,2.0,4.0,42,banco,outros,1,qualificado,2,sim,nao
desconhecido,10.0,bom,moveis/eletrodomesticos,1924,< 100 DM,1 - 4 anos,1.0,4.0,38,nenhum,propria,1,qualificado,1,sim,nao
> 200 DM,36.0,bom,moveis/eletrodomesticos,5848,< 100 DM,1 - 4 anos,4.0,1.0,24,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,24.0,critico,carro,7758,> 1000 DM,> 7 anos,2.0,4.0,29,nenhum,alugada,1,qualificado,1,nao,nao
1 - 200 DM,24.0,ruim,negocios,6967,100 - 500 DM,4 - 7 anos,4.0,4.0,36,nenhum,alugada,1,gerencial,1,sim,nao
< 0 DM,12.0,bom,moveis/eletrodomesticos,1282,< 100 DM,1 - 4 anos,2.0,4.0,20,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,9.0,critico,renovacao,1288,100 - 500 DM,> 7 anos,3.0,4.0,48,nenhum,propria,2,qualificado,2,nao,nao
< 0 DM,12.0,muito bom,educacao,339,< 100 DM,> 7 anos,4.0,1.0,45,banco,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,24.0,bom,carro,3512,100 - 500 DM,4 - 7 anos,2.0,3.0,38,banco,propria,2,qualificado,1,sim,nao
desconhecido,6.0,critico,moveis/eletrodomesticos,1898,desconhecido,1 - 4 anos,1.0,2.0,34,nenhum,propria,2,nao-qualificado,2,nao,nao
desconhecido,24.0,critico,moveis/eletrodomesticos,2872,100 - 500 DM,> 7 anos,3.0,4.0,36,nenhum,propria,1,qualificado,2,sim,nao
desconhecido,18.0,critico,carro,1055,< 100 DM,< 1 ano,4.0,1.0,30,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,15.0,bom,moveis/eletrodomesticos,1262,500 - 1000 DM,4 - 7 anos,4.0,3.0,36,nenhum,propria,2,qualificado,1,sim,nao
1 - 200 DM,10.0,bom,carro,7308,< 100 DM,desempregado,2.0,4.0,70,banco,outros,1,gerencial,1,sim,nao
desconhecido,36.0,bom,carro,909,500 - 1000 DM,> 7 anos,4.0,4.0,36,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,6.0,bom,moveis/eletrodomesticos,2978,500 - 1000 DM,1 - 4 anos,1.0,2.0,32,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,18.0,bom,moveis/eletrodomesticos,1131,< 100 DM,desempregado,4.0,2.0,33,nenhum,propria,1,qualificado,1,nao,sim
1 - 200 DM,11.0,bom,moveis/eletrodomesticos,1577,> 1000 DM,< 1 ano,4.0,1.0,20,nenhum,propria,1,qualificado,1,nao,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,3972,< 100 DM,4 - 7 anos,2.0,4.0,25,nenhum,alugada,1,qualificado,1,sim,nao
1 - 200 DM,24.0,critico,negocios,1935,< 100 DM,> 7 anos,4.0,4.0,31,nenhum,propria,2,qualificado,1,sim,sim
< 0 DM,15.0,perfeito,carro,950,< 100 DM,> 7 anos,4.0,3.0,33,nenhum,alugada,2,qualificado,2,nao,sim
desconhecido,12.0,bom,moveis/eletrodomesticos,763,< 100 DM,1 - 4 anos,4.0,1.0,26,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,24.0,ruim,moveis/eletrodomesticos,2064,< 100 DM,desempregado,3.0,2.0,34,nenhum,propria,1,gerencial,1,sim,sim
1 - 200 DM,8.0,bom,moveis/eletrodomesticos,1414,< 100 DM,1 - 4 anos,4.0,2.0,33,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,21.0,ruim,educacao,3414,< 100 DM,< 1 ano,2.0,1.0,26,nenhum,propria,2,qualificado,1,nao,sim
desconhecido,30.0,muito bom,carro,7485,desconhecido,desempregado,4.0,1.0,53,banco,propria,1,gerencial,1,sim,sim
< 0 DM,12.0,bom,moveis/eletrodomesticos,2577,< 100 DM,1 - 4 anos,2.0,1.0,42,nenhum,propria,1,qualificado,1,nao,nao
< 0 DM,6.0,critico,moveis/eletrodomesticos,338,500 - 1000 DM,> 7 anos,4.0,4.0,52,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,1963,< 100 DM,4 - 7 anos,4.0,2.0,31,nenhum,alugada,2,gerencial,2,sim,nao
< 0 DM,21.0,critico,carro,571,< 100 DM,> 7 anos,4.0,4.0,65,nenhum,propria,2,qualificado,1,nao,nao
desconhecido,36.0,ruim,negocios,9572,< 100 DM,< 1 ano,1.0,1.0,28,nenhum,propria,2,qualificado,1,nao,sim
1 - 200 DM,36.0,ruim,negocios,4455,< 100 DM,1 - 4 anos,2.0,2.0,30,loja,propria,2,gerencial,1,sim,sim
< 0 DM,21.0,muito bom,carro,1647,desconhecido,1 - 4 anos,4.0,2.0,40,nenhum,propria,2,nao-qualificado,2,nao,sim
desconhecido,24.0,critico,moveis/eletrodomesticos,3777,> 1000 DM,1 - 4 anos,4.0,4.0,50,nenhum,propria,1,qualificado,1,sim,nao
1 - 200 DM,18.0,critico,carro,884,< 100 DM,> 7 anos,4.0,4.0,36,banco,propria,1,qualificado,2,sim,sim
desconhecido,15.0,critico,moveis/eletrodomesticos,1360,< 100 DM,1 - 4 anos,4.0,2.0,31,nenhum,propria,2,qualificado,1,nao,nao
